,CR03,CR06,CR10,CR20,CR30,CR35,CR40,CR45,CR50,CR54,CR58,CR63,CR67,CR71,CR75,CR79,CR84,CR88,CR90,CR93
R45.0,0.47037721858737924,0.5032552685155147,0.48171455585800604,0.5141101517907252,0.5776053734313727,0.6335112431742608,0.6456376544939838,0.6188334335871633,0.5745278746595006,0.5542984829000152,0.545105892182294,0.5383301950621456,0.5397058280175194,0.5403264918449481,0.5378226517007532,0.5365382237061921,0.5306935525147153,0.5073595017918164,0.505234478785133,0.35318922032924827
R46.0,0.4507250739221736,0.5000881863821522,0.4812435644192562,0.5107865534925995,0.5688463021538023,0.6220021502115008,0.6353321892014704,0.6104460439644731,0.5678218894218947,0.5494125507818567,0.541416064641912,0.534977936465473,0.5357475006257867,0.5356302826675088,0.5326002933077609,0.5309238486723058,0.5259853039173882,0.5033532412907832,0.5015734353459753,0.33301863858802433
R47.0,0.42723526748041857,0.49279948712941885,0.48115275281698516,0.5081727609768615,0.5608041310397311,0.6111043002950058,0.6255115427648905,0.6025158266092742,0.5616048985837833,0.5442013155732008,0.5377522772259202,0.5321549789423218,0.5321104553449971,0.5312853476393323,0.5277825934523328,0.5257455101834083,0.5217158243926735,0.49975289276448803,0.4980307057295479,0.3142868112786058
R48.0,0.3986241297974423,0.48152412419705376,0.4812716816129271,0.5059643537543212,0.5535334870357101,0.6008430617867159,0.6161070093740122,0.5949477695375505,0.5558015389651751,0.5400783336139476,0.5345862296046654,0.5293435195574309,0.5287672034280063,0.5272704994862216,0.523355614288317,0.5209846514991401,0.5178741673127469,0.4967651756198752,0.49534207932992236,
R49.0,0.36593668680109165,0.4659948637705014,0.4814965584629762,0.5041181550420858,0.5468726339578367,0.591184887135144,0.6071340065883462,0.5878107609778783,0.550417876926155,0.5357153066070595,0.5315387716122654,0.5269111480344905,0.5256894365246412,0.5235758089315969,0.519291992000587,0.516599954564891,0.5144272297817838,0.49401003344931405,0.49100564980183675,
R50.0,0.3287324556668568,0.44617279739403604,0.4817537285153541,0.5026076205903902,0.5407860252837021,0.5820336945716289,0.5986206134961961,0.5810179928813065,0.5454258840459292,0.5323078694087653,0.5288125325952704,0.5245814185209284,0.5228661074831903,0.5201896702572909,0.515530966484091,0.5125270412661769,0.5113579053411604,0.4918669939286362,0.4668624390588925,
R51.0,,0.422117435984144,0.4821153723332273,0.501683654399609,0.5352498986567656,0.57332452744113,0.5905274733443252,0.5746186596153491,0.5408101076166602,0.5286418268717793,0.5262992868262187,0.52247187377693,0.5202819678793714,0.5170884545098596,0.5121116987395989,0.5088252476079829,0.5085519114053575,0.48996537411234214,0.44390772232361425,
R52.0,,0.39395400665328106,0.4825546731139789,0.500817267942551,0.5301477805989114,0.5651178340219626,0.5828985995095288,0.5686202273081878,0.5365914102315398,0.5257513768661607,0.5239561959886743,0.5205458348858459,0.5179189498646554,0.5142601650849637,0.5090149487519816,0.5054939876697284,0.5060888795948553,0.48856874274131,0.4221100777778897,
R53.0,,0.3611653795895515,0.48186145513500084,0.5001435767955654,0.5255005359583802,0.5574717910347098,0.5756877973344771,0.5629253217249344,0.5326826715537782,0.5227187947372951,0.5219013216817742,0.5187129516614265,0.5157633424395892,0.5116939125185045,0.5062228869491691,0.5025843661004089,0.504000213678592,0.4874418865160986,0.4014371514880598,
R54.0,,0.32433857892279744,0.4770418818519083,0.49961431672779955,0.521491894100454,0.5503794472856044,0.5688469536453384,0.5576043087212835,0.5291298682505734,0.5203998382400433,0.5198763956982813,0.5171425561894686,0.513800364383044,0.5093647083747144,0.5037294001103317,0.4999954576363772,0.5022140685772712,0.48669275810417384,0.3818443693128901,
R55.0,,,0.4678210378544895,0.49950500073059606,0.517834950085281,0.5439053744701817,0.562440444085584,0.5525654535735314,0.5258694969988585,0.5179870687818253,0.518219971759113,0.5155242771020793,0.512018729036029,0.5072748527075264,0.5015067656434199,0.4977085366954204,0.5006981682574398,0.48626296921200324,0.3633242230895797,
R56.0,,,0.45506564716872666,0.49951022164656433,0.5145810760539308,0.5379107351217585,0.5563615203859215,0.5478771740932163,0.5229095157982833,0.5161152761120626,0.5164664038341186,0.5142608373416597,0.5104077246463347,0.5054002208020677,0.4995383636839528,0.4957065496399602,0.4994284519503335,0.4860572148033696,0.3458136787910077,
R57.0,,,0.43794392528154663,0.49949329274962045,0.511705730825915,0.53231130924646,0.5507057694726291,0.543535262859053,0.5202708799700416,0.5141115467870386,0.515122802668839,0.5128185919666786,0.50895941520054,0.5037313280366104,0.4978349031455592,0.49397177085941557,0.49837754199056195,0.4861953403003387,0.3292859145137887,
R58.0,,,0.4167701877173137,0.49930269045509107,0.5091813135019413,0.5271648657688125,0.5454603663640605,0.5394422170319102,0.5178517769800974,0.5126160203774104,0.5136112403006512,0.5118334317163648,0.5076633843913582,0.5022501625451462,0.49641352222348795,0.4924839917008519,0.4975225962076198,0.48633699730418234,0.3136874350090699,
R59.0,,,0.3914479967834283,0.4992981711579747,0.5069877011780453,0.5225074663897937,0.5405067418226097,0.535680295718266,0.5157099480869445,0.511100669476199,0.5125387797339883,0.5105323394811627,0.5065103342656851,0.500949282689894,0.49519490622862333,0.4912264429717242,0.4968350996384557,0.48686735231443656,,
R60.0,,,0.361787065546902,0.49926373572170907,0.505102372233018,0.518321482910415,0.5359650788806349,0.5321363890104525,0.5137846738284454,0.5099966271402967,0.5112417282339939,0.509779237138765,0.5055001755443408,0.4998135820419099,0.4941755628815638,0.4901644127886263,0.49626932701619464,0.4871914673289122,,
R61.0,,,0.32813180380858864,0.49919539980941535,0.5035769118316732,0.5145934265796144,0.5317339469198199,0.5289063853417865,0.5120979120081732,0.5088614435500204,0.5103983103908295,0.5085810833520024,0.5046081849603545,0.4988352279386194,0.4933285444209482,0.48919529422101904,0.495797875696478,0.48780679439335944,,
R62.0,,,,0.49906626695389694,0.5023093898155633,0.5112245799106939,0.5278410159824147,0.525965252857644,0.5106576937368299,0.5078104373992693,0.5092690515762791,0.5080443383596945,0.5038274354179737,0.49799311339728136,0.49264499711236664,0.48839558417387563,0.4953960717777864,0.4721960396471749,,
R63.0,,,,0.49915613982527873,0.5011599342865651,0.5081287811237302,0.5243234952394094,0.523225035025533,0.5093635714467014,0.5069562479077816,0.5086369208965068,0.5069294501946789,0.5031542787518287,0.4972976722397154,0.4921051322581146,0.4877925903008824,0.4950143546444509,,,
R64.0,,,,0.4993470296789475,0.5002206493372687,0.5054161048757442,0.5210638585368105,0.5207652092096539,0.5082893669721728,0.5062747142696453,0.5076311848111422,0.5066014168603222,0.5025813539095614,0.49674761425069436,0.4916987001573407,0.4873539805586971,0.49472809854512456,,,
R65.0,,,,0.4994077410886009,0.49947870357393787,0.5031571148817163,0.5181376629455781,0.5184768431703524,0.507345685388607,0.5057677334514941,0.5071736607274567,0.505530989789261,0.5020989095269678,0.4963012485655674,0.4914044494469803,0.4870555477368922,,,,
R66.0,,,,0.4993358935691715,0.49891027283311773,0.5012739459071647,0.5155123703599307,0.5164511065223,0.5065799268678451,0.5053744670346018,0.5062865284696432,0.5053255923713987,0.501699077943021,0.4959499250002425,0.49118117319564947,0.486808352943312,,,,
R67.0,,,,0.4993560694658244,0.49864168247794144,0.4997618769508317,0.5131741250180533,0.5146561300237614,0.5059950739350257,0.5049775674247512,0.5059727408594129,0.5043344387760367,0.5013716177722594,0.49567970693259633,0.49102137436041116,0.48662253193734617,,,,
R68.0,,,,0.49948391943454556,0.49850352405419507,0.4985040322535996,0.5111571306398143,0.513016934500043,0.5054935334283592,0.5046869011554261,0.5051765747581052,0.5042348487624148,0.5011038835207104,0.4954778714093231,0.49091891139688015,0.48656694476532736,,,,
R69.0,,,,0.49955507458389486,0.49840558354640735,0.4973934884330175,0.5093695263989483,0.5116049830218842,0.5051582946629641,0.5044993867439691,0.504992766787469,0.5033119759758179,0.5008924088306759,0.4953377984591633,0.4908560867745018,,,,,
R70.0,,,,0.49953383808601237,0.4984013533924776,0.49648178571826135,0.5077999529506207,0.5103011929361693,0.5048768944384452,0.5044033279299599,0.5043274992766096,0.5033178334999924,0.5007267211736304,0.4952084158323667,0.4907193024722778,,,,,
R71.0,,,,0.499683765472536,0.4983747404496256,0.4958353249801017,0.5064842048479928,0.5092143073798089,0.5047276208154785,0.5043862617946364,0.5041886405725698,0.5024706323067066,0.5006005519127373,0.4951521418566385,0.4908123214286907,,,,,
R72.0,,,,0.49760315102197966,0.4983825229704126,0.4954324137462272,0.5052952227430182,0.5082994680897218,0.5046875858596365,0.5043029638257569,0.5036489356730743,0.5024955221500355,0.5005052927793875,0.495110228412217,0.49096007275605297,,,,,
R73.0,,,,0.4915915077191142,0.498481537207143,0.4952855609226751,0.5043492946240312,0.5074768850647742,0.5046766466107754,0.5042799623012374,0.5035037336856925,0.5017287993858967,0.5004338704742537,0.4950872870295426,0.4911677161931407,,,,,
R74.0,,,,0.48133459348649565,0.4987377673264537,0.49534509308894237,0.5035925540944044,0.5068150200087602,0.5047744193127396,0.5042867779939457,0.5030922212211328,0.5017384851050031,0.5003692333557381,0.4950765724416029,0.4914223599189637,,,,,
